d_mm,r_m,v,rho_gcc,rho_SI,p_Pa
0.69,0.000345,2.78,0.0011888,1.1888,99306.1963
0.77,0.000385,3.18,0.0011888,1.1888,99306.1963
0.79,0.000395,3.14,0.0011888,1.1888,99306.1963
2.29,0.001145,6.97,0.0011888,1.1888,99306.1963
3.38,0.00169,8.27,0.0011888,1.1888,99306.1963
4.07,0.002035,8.76,0.0011888,1.1888,99306.1963
4.42,0.00221,8.99,0.0011888,1.1888,99306.1963
4.93,0.002465,9.02,0.0011888,1.1888,99306.1963
5.42,0.00271,9.18,0.0011888,1.1888,99306.1963
5.95,0.002975,9.19,0.0011888,1.1888,99306.1963
6.24,0.00312,9.09,0.0011888,1.1888,99306.1963
6.37,0.003185,9.14,0.0011888,1.1888,99306.1963
6.67,0.003335,9.17,0.0011888,1.1888,99306.1963
7.25,0.003625,9.16,0.0011888,1.1888,99306.1963
3.38,0.00169,10.59,0.0006,0.6,50120.89315
4.07,0.002035,11.02,0.0006,0.6,50120.89315
4.42,0.00221,11.35,0.0006,0.6,50120.89315
4.93,0.002465,11.47,0.0006,0.6,50120.89315
5.42,0.00271,11.71,0.0006,0.6,50120.89315
5.95,0.002975,12,0.0006,0.6,50120.89315
6.24,0.00312,12.01,0.0006,0.6,50120.89315
3.38,0.00169,10.14,0.000697,0.697,58223.77088
4.07,0.002035,10.55,0.000697,0.697,58223.77088
4.42,0.00221,10.85,0.000697,0.697,58223.77088
4.93,0.002465,11.02,0.000697,0.697,58223.77088
5.42,0.00271,11.25,0.000697,0.697,58223.77088
5.95,0.002975,11.42,0.000697,0.697,58223.77088
3.38,0.00169,9.71,0.0008,0.8,66827.85754
4.07,0.002035,10.11,0.0008,0.8,66827.85754
4.42,0.00221,10.4,0.0008,0.8,66827.85754
4.93,0.002465,10.58,0.0008,0.8,66827.85754
5.42,0.00271,10.76,0.0008,0.8,66827.85754
5.95,0.002975,10.86,0.0008,0.8,66827.85754
6.24,0.00312,10.81,0.0008,0.8,66827.85754
3.38,0.00169,9.29,0.0009105,0.9105,76058.45536
4.07,0.002035,9.7,0.0009105,0.9105,76058.45536
4.42,0.00221,9.94,0.0009105,0.9105,76058.45536
4.93,0.002465,10.12,0.0009105,0.9105,76058.45536
5.42,0.00271,10.26,0.0009105,0.9105,76058.45536
5.95,0.002975,10.32,0.0009105,0.9105,76058.45536
3.38,0.00169,8.95,0.001,1,83534.82192
4.07,0.002035,9.4,0.001,1,83534.82192
4.42,0.00221,9.6,0.001,1,83534.82192
4.93,0.002465,9.78,0.001,1,83534.82192
5.42,0.00271,9.86,0.001,1,83534.82192
5.95,0.002975,9.91,0.001,1,83534.82192
6.24,0.00312,9.88,0.001,1,83534.82192
3.38,0.00169,8.52,0.001111,1.111,92807.18715
4.07,0.002035,9.01,0.001111,1.111,92807.18715
4.42,0.00221,9.21,0.001111,1.111,92807.18715
4.93,0.002465,9.34,0.001111,1.111,92807.18715
5.42,0.00271,9.44,0.001111,1.111,92807.18715
5.95,0.002975,9.48,0.001111,1.111,92807.18715
3.38,0.00169,8.49,0.0011242,1.1242,93909.8468
4.07,0.002035,8.98,0.0011242,1.1242,93909.8468
4.42,0.00221,9.17,0.0011242,1.1242,93909.8468
4.93,0.002465,9.29,0.0011242,1.1242,93909.8468
5.42,0.00271,9.39,0.0011242,1.1242,93909.8468
5.95,0.002975,9.41,0.0011242,1.1242,93909.8468
6.24,0.00312,9.35,0.0011242,1.1242,93909.8468
3.38,0.00169,8.24,0.0012,1.2,100241.7863
4.07,0.002035,8.72,0.0012,1.2,100241.7863
4.42,0.00221,8.92,0.0012,1.2,100241.7863
4.93,0.002465,9,0.0012,1.2,100241.7863
5.42,0.00271,9.14,0.0012,1.2,100241.7863
5.95,0.002975,9.15,0.0012,1.2,100241.7863
6.24,0.00312,9.08,0.0012,1.2,100241.7863
3.38,0.00169,8.16,0.0012251,1.2251,102338.5103
4.07,0.002035,8.66,0.0012251,1.2251,102338.5103
4.42,0.00221,8.85,0.0012251,1.2251,102338.5103
4.93,0.002465,8.9,0.0012251,1.2251,102338.5103
5.42,0.00271,9.07,0.0012251,1.2251,102338.5103
5.95,0.002975,9.06,0.0012251,1.2251,102338.5103
6.24,0.00312,9,0.0012251,1.2251,102338.5103
