Complexity,Loss,Equation
1,0.20759716071069423,"1.0186288551350413"
2,0.20701291034962818,"square(abs(-1.0090272691854683))"
3,0.20639699180424337,"x1 - -1.011735182526128"
5,0.1962737988438181,"(0.0005050200387956607 * x2) - -0.8979729971404914"
7,0.18934699712626474,"((0.0005050200387956607 * x2) - -0.8979729971404914) - x1"
8,0.1706468231052671,"square(1.033081983855664 - (x1 * square(square(x3))))"
9,0.16986097139601677,"square(1.033081983855664 - (x1 * cube(square(x3))))"
10,0.15310469524535114,"1.0515316024718988 - (min(0.0015410864425770773, x1) * ((x3 + -0.7932925764118587) * x2))"
12,0.10895526225764912,"1.464125342090004 - (x2 * ((min(0.0019930950708526934, x1) * (x3 + -0.9659537341001603)) + 0.0015410864425770773))"
14,0.08233238666433158,"1.5334861106988893 - (x2 * (0.0017385810807507198 + ((2.683649021914352 * (x3 + -1.0115813023034348)) * min(x1, 0.000844187941704662))))"
16,0.08099593049519155,"1.5323873899414915 - ((0.0017412708431179627 + ((min(x1, 0.0008352812882050207) * (x3 + -1.0172817292856053)) * 2.6840688498381327)) * (x2 + 1.5323873899414915))"
20,0.08029038756656812,"1.5323873899414915 - ((((min(x1, 0.0008352812882050207) * ((x3 + -1.0172817292856053) * 2.6840688498381327)) + 0.0017412708431179627) * x2) + inv(x2))"
22,0.0802787680875495,"(1.5323873899414915 - ((((min(x1, 0.0008352812882050207) * ((x3 + -1.0172817292856053) * 2.6840688498381327)) + 0.0017412708431179627) * x2) + inv(x2))) + x4"
24,0.08026714860853086,"((1.5323873899414915 - ((((min(x1, 0.0008352812882050207) * ((x3 + -1.0172817292856053) * 2.6840688498381327)) + 0.0017412708431179627) * x2) + inv(x2))) + x4) + x4"
28,0.056582732861237425,"((square(1.0803959815074997) / ((min(9.930486841826381 * x1, 0.006953508004009717) * ((x3 * 92.79003942844024) - (0.31415536611849315 * x2))) + 1.2388845793973429)) - (x4 * (74.72180640209834 * x2))) - -0.4728540958719483"
30,0.05651591826491391,"((square(1.0803959815074997) / ((((92.79003942844024 * x3) - (x2 * 0.31415536611849315)) * min(9.930486841826381 * (0.9868300696074009 * x1), 0.006953508004009717)) + 1.2388845793973429)) - ((x4 * 74.72180640209834) * x2)) - -0.4728540958719483"
39,0.050360841689395,"((0.5692364350115776 / ((min(24.97938386910116 * x1, (0.006470097710108948 + min(x1, inv(x2))) * x3) * ((135.43659792125288 * (0.19178173845176802 + x3)) - (x2 * 0.5901182309035953))) + 1.1599622559873677)) - ((x4 * 97.51095677030472) * x2)) - -1.016887892277021"
41,0.0492990685999571,"(((0.01607088356554153 + 0.5788372208670101) / (1.1879991516111184 + ((((0.17717292449180694 + x3) * 135.4363268588318) - (x2 * 0.5784308396639519)) * min(x3 * (0.006697640767745089 + min(inv(x2), x1)), 24.97731203152446 * x1)))) - ((x4 * x2) * 97.51095677030472)) - -1.0125591980040045"
43,0.046785113102858884,"((0.5943624629295808 / (1.1493789467262427 + ((x3 * (min(x1 * 22.139336635115328, 0.0065538379759066045) + (min(inv(x2), x1) - pow4(-0.12683934608806471)))) * (((x3 + 0.19383872103083213) * 135.43664613442147) - (x2 * 0.5783731169019171))))) - -1.0063281149758978) - (x2 * (x4 * 97.50885042721906))"
45,0.04676624358039612,"(((0.5943624629295808 / (1.1493789467262427 + (x3 * ((min(x1 * 22.139336635115328, 0.0065538379759066045) + (min(inv(x2), x1) - pow4(-0.12683934608806471))) * (((x3 + 0.19383872103083213) * 135.43664613442147) - (x2 * 0.5783731169019171)))))) - -1.0063281149758978) - (x2 * (x4 * 97.50885042721906))) + x4"
48,0.04661952098290685,"(abs(-0.5947290911042621 / (((((135.43663006087868 * (x3 + 0.18942575495074893)) - (x2 * 0.5792716452769499)) * ((min(inv(x2), x1) + min(22.139316649365156 * x1, 0.006585615916669768)) - pow4(0.1334331126434261))) * x3) + 1.1515104654353998)) + (-0.004671523851803176 - -1.0082389489757464)) - ((x4 * 97.50884321153373) * (x2 - 0.1334331126434261))"
50,0.04660544148392331,"((-0.004671523851803176 - -1.0082389489757464) - (x4 * (97.50884321153373 * (x2 - pow8(-0.7671707451788683))))) + abs(-0.5947290911042621 / (1.1515104654353998 + (x3 * ((((0.18942575495074893 + x3) * 135.43663006087868) - (x2 * 0.5792716452769499)) * (min(min(x1, inv(x2)) + 0.006585615916669768, 22.139316649365156 * x1) - pow4(0.1334331126434261))))))"
52,0.045492455107771584,"(((x1 + 0.591898093664476) / ((((min(x1 * 22.139316649365156, min(x1, inv(x2 - (135.43663006087868 - (0.5185615679435419 * x2)))) + 0.006585615916669768) - pow4(0.12541557290535285)) * ((135.43663006087868 * (x3 + 0.18942575495074893)) - (x2 * 0.5792716452769499))) * x3) + 1.1515104654353998)) - -1.0082389489757464) - abs(abs(abs((x4 * x2) * -97.84217663934017)))"
54,0.04484660284006244,"(((0.5921904951571902 + x1) / (1.1515104654353998 + (((135.43663006087868 * (x3 + 0.18942575495074893)) - (0.5792716452769499 * x2)) * ((min(x1, inv(x2 - (square(x3) * (135.43663006087868 - (x2 * 0.5792716452769499))))) + (min(0.006585615916669768, x1 * 22.139316649365156) - pow4(-0.1287924893241285))) * x3)))) - -1.0082389489757464) - (97.50884321153373 * (x4 * x2))"
56,0.043769141883286504,"(((0.5921904951571902 + x1) / (1.1515104654353998 + ((((135.43663006087868 * (x3 + 0.18942575495074893)) - (0.5792716452769499 * x2)) * (min(min(x1, inv(x2 - (square(x3) * (135.43663006087868 - (x2 * 0.5792716452769499))))) + 0.006585615916669768, x1 * 22.139316649365156) - pow4(-0.1287924893241285))) * x3))) - -1.0082389489757464) - abs((97.50884321153373 * x4) * (x2 + x3))"
60,0.04365177656641819,"abs(((((0.5921904951571902 + x1) / (1.1515104654353998 + (((135.43663006087868 * (x3 + 0.18942575495074893)) - (0.5792716452769499 * x2)) * (((min(x1, inv(x2 - (square(x3) * (135.43663006087868 - (x2 * 0.5792716452769499))))) + x4) + (min(0.006585615916669768, x1 * 22.139316649365156) - pow4(-0.1287924893241285))) * x3)))) - -1.0082389489757464) - ((97.50884321153373 * x4) * (x2 + 0.6016012123613362))) - x4)"
62,0.04275840574441207,"abs((((0.5921904951571902 + x1) / (1.1515104654353998 + (x3 * (((135.43663006087868 * (x3 + 0.18942575495074893)) - (0.5792716452769499 * x2)) * (min(x1, inv(x2 - (square(x3) * (135.43663006087868 - ((x2 - max(0.3015766602343833, 135.43663006087868 - (x2 * 0.5792716452769499))) * 0.5792716452769499))))) + (min(0.006585615916669768, x1 * 22.139316649365156) - pow4(-0.1287924893241285))))))) - -1.0082389489757464) - abs(97.50884321153373 * (x4 * x2)))"
74,0.04152167244057441,"(((x4 + 0.591898093664476) / (((((0.18942575495074893 + x3) * 135.43663006087868) - (x2 * 0.5792716452769499)) * (min(22.139316649365156 * x1, (0.8873477248795661 + (((0.8873477248795661 + (((-2.178872392452968 + (135.43663006087868 * x3)) - (x2 * 0.591898093664476)) * (0.006585615916669768 * x3))) * 0.006585615916669768) * ((135.43663006087868 * (x3 + 0.18942575495074893)) - (0.591898093664476 * x2)))) * (min(x1, inv(x2)) + 0.006585615916669768)) - cube(x1))) + 1.1515104654353998)) - -1.0082389489757464) - abs((x4 * -97.23991191234593) * abs(x2))"
94,0.03882968435938887,"abs(square(x2 / (((x2 * 0.051614614528230594) + (((x2 / (0.3296688507969751 / -0.0020830539179432115)) + 1.4470846924321097) / ((0.06875418794847675 / -3.457915022470467) - x1))) + (x2 + ((((((-0.47227794599824113 / 0.000404176913548325) + (-1.8807069637620673 * (-1.4604284355238415 / ((x3 / (x2 - -3.457915022470467)) / 1.565569176162561)))) * (square(2.521897919434948) + 2.521897919434948)) * -1.7412033449311923) / (x2 + abs(0.06875418794847675 / (x3 * x1)))) + (0.055804503895440394 / -0.0017416819024776136))))))"
96,0.0365698627051741,"square(x2 / ((((x2 + ((1.4470730929125128 + (x2 / (0.3288606061458017 / -0.002063281090477141))) / (0.06503240728073588 / -3.4579863188526643))) + (x2 * 0.0526896966016281)) + (0.05563360508062972 / -0.0016840065492240658)) + (-2.0549733202949527 * (((square(-2.7846100779775163) / ((0.049665326625770945 / (x1 * x3)) + x2)) + x1) * ((-1.877438527093721 / ((x3 / ((0.05563410547503131 / -0.0012975720186107547) + x2)) / (1.6022918172683591 * -1.4628629306541958))) + (-0.4050579704190904 / 0.00040987237224561425))))))"
98,0.03460987123614615,"square(x2 / abs(((1.4470731375012897 + (x2 / (0.328860793040077 / -0.0020594928541732382))) / ((0.06503236021149937 / -3.4579863197378686) - x1)) + (x2 + ((((((-1.87743852725407 / ((x3 / ((0.05563410416524814 / -0.0012976281752165872) + x2)) / (-1.460303623698977 * 1.5654527457582013))) + (-0.40505796947429357 / 0.00040673883961870125)) * -1.87743852725407) * (square(-2.6459889616383556) + 2.5677704413004547)) / ((0.06503236021149937 / (x3 * x1)) + x2)) + ((0.052402248617831146 * x2) + (0.05563410416524814 / -0.0016791622015355032))))))"
100,0.034587347937498666,"abs(square(x2 / ((abs(0.052402248617831146 * x2) + (0.05563410416524814 / -0.0016791622015355032)) + abs((((2.5677704413004547 + square(-2.6459889616383556)) * ((((-0.40505796947429357 / 0.00040673883961870125) + (-1.87743852725407 / ((x3 / (x2 + (0.05563410416524814 / -0.0012976281752165872))) / (1.5641825366442148 * -1.460303623698977)))) * -1.87743852725407) / ((square(-0.2567521360784265) / (x3 * x1)) + x2))) + x2) + ((1.4470731375012897 + (x2 / (0.328860793040077 / -0.0020594928541732382))) / ((0.06503236021149937 / -3.4579863197378686) - x1))))))"
104,0.03438570534521345,"square(abs((x1 - -0.0020830539179432115) - (x2 / ((((x2 * 0.051614614528230594) + (x2 + ((square(2.521897919434948) + 2.521897919434948) * (((((-1.8807069637620673 * -1.4604284355238415) / ((x3 / ((0.055804503895440394 / -0.0015861635747090555) + x2)) / 1.565569176162561)) + (-0.40489525246443125 / 0.000404176913548325)) / abs(x2 + (0.051614614528230594 / (x1 * min(1.046907685827409, x3))))) * -1.8938354093886087)))) + ((1.4470846924321097 + (x2 / (0.3296688507969751 / -0.0020830539179432115))) / ((0.06875418794847675 / -3.457915022470467) - x1))) + (0.055804503895440394 / -0.0017416819024776136)))))"
105,0.034026744169960516,"square((x2 / ((((x2 / (0.3296688507969751 / -0.0020830539179432115)) + 1.454168855162362) / ((0.06875418794847675 / -3.457915022470467) - x1)) + ((0.055804503895440394 / -0.0017416819024776136) + ((-1.9022144045886014 * (((-0.40489525246443125 / 0.000404176913548325) + ((-1.8807069637620673 * -1.4604284355238415) / ((x3 / ((0.055804503895440394 / -0.0015861635747090555) + x2)) / 1.565569176162561))) * ((2.521897919434948 + square(-2.5705514730755383)) / (x2 + (0.055804503895440394 / ((x3 * x1) / 1.2280632120319255)))))) + ((0.051614614528230594 * x2) + x2))))) - x1)"
106,0.033114749427490424,"square(x1 - (x2 / ((0.051614614528230594 * x2) + ((((x2 / (0.3296688507969751 / -0.0020830539179432115)) + 1.454168855162362) / ((0.06875418794847675 / -3.457915022470467) - x1)) + ((((-1.9022144045886014 * (2.521897919434948 + square(-2.5705514730755383))) * ((-1.4604284355238415 * (-1.8807069637620673 / ((x3 / ((square(-0.23259348189699314) / -0.0015861635747090555) + x2)) / 1.565569176162561))) + (-0.40489525246443125 / 0.000404176913548325))) / ((0.055804503895440394 / (x3 * (x1 / 1.2406164715393388))) + x2)) + ((0.055804503895440394 / -0.0017416819024776136) + x2))))))"
108,0.03309356484394966,"square(x1 - (x2 / ((0.051614614528230594 * x2) + ((((x2 / (0.3296688507969751 / -0.0020830539179432115)) + 1.454168855162362) / ((0.06875418794847675 / -3.457915022470467) - x1)) + ((((-1.9022144045886014 * (2.521897919434948 + square(-2.5705514730755383))) * ((-1.4604284355238415 * (-1.8807069637620673 / ((x3 / ((square(-0.23259348189699314) / -0.0015861635747090555) + x2)) / 1.565569176162561))) + (-0.40489525246443125 / 0.000404176913548325))) / ((0.055804503895440394 / (x3 * (x1 / 1.2406164715393388))) + x2)) + ((0.055804503895440394 / -0.0017416819024776136) + x2)))))) - x4"
110,0.03189707875867489,"square((x2 / (x2 + (((0.055804503895440394 / -0.0017416819024776136) + (((square(-2.535430343653308) + 2.521897919434948) * ((((-0.40489525246443125 / 0.000404176913548325) + ((-1.8807069637620673 * -1.4604284355238415) / ((x3 / ((0.0572922498239629 / -0.0015861635747090555) + x2)) / 1.565569176162561))) * -1.9022144045886014) / (x2 + (0.051614614528230594 / (x1 * min(x3, x1 / pow8(-0.3243867105030441))))))) + (x2 * 0.051614614528230594))) + (((x2 / (0.3296688507969751 / -0.0020830539179432115)) + 1.454168855162362) / ((0.06875418794847675 / -3.457915022470467) - x1))))) - abs(abs(x1)))"
112,0.0315881775629429,"abs(square(x1 - (x2 / (((((x2 / (0.3296688544284402 / -0.002082672382893087)) + 1.4541688557582515) / ((0.06875419269312251 / -3.457915022376129) - x1)) + ((((0.05580451079079068 / -0.0017414310978742498) + x2) + (((2.521897919463944 + square(2.5296331366964036)) * -1.9022144047245866) * ((((-1.8807069640742902 * -1.460428435925915) / ((x3 / (x2 + (0.055804501631782646 / -0.001586215359813682))) / 1.565569176537632)) + (-0.40489525165304474 / 0.0004048228175871476)) / (x2 + (0.055804501631782646 / (x1 * min(x1 / pow8(-0.3151022088589886), x3))))))) - -0.4932722037423858)) + (0.05161461072123651 * x2)))))"
114,0.0315602517105656,"square(abs(x1 - (x2 / (((((x2 / (0.3296688544284402 / -0.002082672382893087)) + 1.4541688557582515) / ((0.06875419269312251 / -3.457915022376129) - x1)) + (((0.05580451079079068 / -0.0017414310978742498) + (x2 + ((2.521897919463944 + square(2.5296331366964036)) * (-1.9022144047245866 * ((((-1.8807069640742902 * -1.460428435925915) / ((x3 / (x2 + (0.055804501631782646 / -0.001586215359813682))) / 1.565569176537632)) + (-0.40489525165304474 / 0.0004048228175871476)) / (x2 + (0.055804501631782646 / (x1 * min(x1 / pow8(-0.3151022088589886), x3))))))))) - -0.4932722037423858)) + (0.05161461072123651 * x2)))) + x4)"
116,0.031257149939771765,"abs((square(x2 / ((((x2 + ((-1.9022144047245866 * ((-0.40489525165304474 / 0.0004048228175871476) + ((-1.460428435925915 * -1.8807069640742902) / ((x3 / (x2 + (0.05580450258627788 / -0.001586215359813682))) / 1.565569176537632)))) * ((2.521897919463944 + square(-2.5313275715795482)) / ((0.055804501631782646 / (min(x1 / pow8(-0.3151022088589886), x3) * x1)) + x2)))) - -0.4932722037423858) + ((x2 + -1.0874388324308812) * 0.05161461072123651)) + (((1.4541688557582515 + (x2 / (0.3296688544284402 / -0.002082672382893087))) / ((0.06875419269312251 / -3.457915022376129) - x1)) + (0.05580451079079068 / -0.0017414310978742498)))) - x1) - abs(x1))"
130,0.029742284972952348,"square((x2 - -0.3761967449124298) / ((x2 + (((((((1.454367614946941 * -1.853069207400333) / ((x3 / (x2 + (0.05528710792205269 / -0.0011851245038607939))) / -1.5572677716834016)) + (-0.3761967449124298 / 0.00040506016550023624)) * ((square(-2.4220041958719687) + x3) * 1.6125056425742907)) / -0.7679181630847893) / (x2 + (((0.12074827295236845 / (x1 * ((x1 * 0.16256182118244122) / 9.407320986791332e-5))) + ((x1 * x2) / -0.0022051922974707532)) / abs((0.05528710792205269 * x2) + (0.05528710792205269 / -0.002045159386971294))))) + (0.05528710792205269 / -0.0022051922974707532))) + ((x2 * 0.0529443968099137) + ((-3.4371967258212823 * (1.4543759932163847 + (x2 / (0.32977782640820313 / -0.0019002450941286314)))) / 0.06528503999823161))))"
132,0.029662457646857394,"square((x2 - -0.3761967449124298) / ((x2 + (((((((1.454367614946941 * -1.853069207400333) / ((x3 / (x2 + (0.05528710792205269 / -0.0011851245038607939))) / -1.5572677716834016)) + (-0.3761967449124298 / 0.00040506016550023624)) * ((square(-2.4220041958719687) + x3) * 1.6125056425742907)) / -0.7679181630847893) / (x2 + (((0.12074827295236845 / ((x1 * (x1 * 0.16256182118244122)) / 9.407320986791332e-5)) + ((x1 * x2) / -0.0022051922974707532)) / abs((0.05528710792205269 * (x2 - -0.3761967449124298)) + (0.05528710792205269 / -0.002045159386971294))))) + (0.05528710792205269 / -0.0022051922974707532))) + ((x2 * 0.0529443968099137) + ((-3.4371967258212823 * (1.4543759932163847 + (x2 / (0.32977782640820313 / -0.0019002450941286314)))) / 0.06528503999823161))))"
133,0.029662457646856995,"abs(square((x2 - -0.3761967449124298) / ((x2 + ((((((1.454367614946941 * (-1.853069207400333 / ((x3 / (x2 + (0.05528710792205269 / -0.0011851245038607939))) / -1.5572677716834016))) + (-0.3761967449124298 / 0.00040506016550023624)) * (square(-2.4220041958719687) + x3)) * 1.6125056425742907) / -0.7679181630847893) / (x2 + (((0.12074827295236845 / ((x1 * x1) * (0.16256182118244122 / 9.407320986791332e-5))) + ((x1 * x2) / -0.0022051922974707532)) / abs((0.05528710792205269 * (x2 - -0.3761967449124298)) + (0.05528710792205269 / -0.002045159386971294)))))) + (((0.05528710792205269 / -0.0022051922974707532) + (x2 * 0.0529443968099137)) + ((-3.4371967258212823 * (1.4543759932163847 + (x2 / (0.32977782640820313 / -0.0019002450941286314)))) / 0.06528503999823161)))))"
134,0.02955498027699537,"abs(square((x2 + abs(0.36009619145436367)) / ((0.05528710792205269 / -0.0022051922974707532) + ((0.0529443968099137 * x2) + ((((((-1.853069207400333 * 1.4543759932163847) / ((x3 / ((0.05528710792205269 / -0.0011851245038607939) + x2)) / -1.5572677716834016)) + (-0.3761967449124298 / 0.00040506016550023624)) * (((square(2.425041685612821) + x3) / (x2 + (((0.12074827295236845 / ((pow8(0.7848285609705946) * (x1 * x1)) / 9.407320986791332e-5)) + (x2 * (x1 / -0.0022051922974707532))) / abs((0.05528710792205269 / -0.002045159386971294) + (0.05528710792205269 * x2))))) / -0.7679181630847893)) * 1.6125056425742907) + (x2 + (((x2 / (0.32977782640820313 / -0.0019002450941286314)) + 1.4543759932163847) * (-3.4371967258212823 / 0.06528503999823161))))))))"
147,0.02955339682674061,"square(((abs((x2 / (0.32977782640820313 / -0.0019002450941286314)) + 1.4543759932163847) + x2) / ((((x2 / (0.32977782640820313 / -0.0019002450941286314)) + 1.4543759932163847) * (-3.4371967258212823 / 0.06528503999823161)) + (x2 + (((((-0.3761967449124298 / 0.00040506016550023624) + (-1.853069207400333 * (1.4543759932163847 / ((x3 / (x2 + (0.05528710792205269 / -0.0011851245038607939))) / -1.5572677716834016)))) * (((square(-2.4220041958719687) + x3) / ((((0.12074827295236845 / (0.18605132942448194 * ((x1 / 9.407320986791332e-5) * x1))) + (x2 * (x1 / -0.0022051922974707532))) / abs((x2 * 0.05528710792205269) + (0.05528710792205269 / -0.002045159386971294))) + x2)) * (1.6125056425742907 / -0.7679181630847893))) + (x2 * 0.0529443968099137)) + (0.05528710792205269 / -0.0022051922974707532))))) + (x4 + x4))"
148,0.02955172270558203,"abs(abs(square(((abs(((x2 - -1.61304605216409) / (0.32977782640820313 / -0.0019002450941286314)) + 1.4543759932163847) + x2) / (((-3.4371967258212823 / 0.06528503999823161) * (1.4543759932163847 + (x2 / (0.32977782640820313 / -0.0019002450941286314)))) + abs((x2 * 0.0529443968099137) + ((((square(-2.4220041958719687) + x3) * ((((-0.3761967449124298 / 0.00040506016550023624) + (-1.853069207400333 * (1.4543759932163847 / ((x3 / (x2 + (0.05528710792205269 / -0.0011851245038607939))) / -1.5572677716834016)))) / (x2 + ((((x2 * x1) / -0.0022051922974707532) + (0.12074827295236845 / (0.1721593034666545 * (x1 * (x1 / 9.407320986791332e-5))))) / abs((0.05528710792205269 / -0.002045159386971294) + (x2 * 0.05528710792205269))))) * 1.6125056425742907)) / -0.7679181630847893) + (x2 + (0.05528710792205269 / -0.0022051922974707532)))))) + x4)))"
150,0.02954961382216706,"abs(abs(square((abs((((x2 - -1.61304605216409) - -1.61304605216409) / (0.32977782640820313 / -0.0019002450941286314)) + 1.4543759932163847) + x2) / ((((-3.4371967258212823 / 0.06528503999823161) * (1.4543759932163847 + (x2 / (0.32977782640820313 / -0.0019002450941286314)))) + abs((x2 * 0.0529443968099137) + ((((square(-2.4220041958719687) + x3) * ((((-0.3761967449124298 / 0.00040506016550023624) + (-1.853069207400333 * (1.4543759932163847 / ((x3 / (x2 + (0.05528710792205269 / -0.0011851245038607939))) / -1.5572677716834016)))) / (x2 + ((((x2 * x1) / -0.0022051922974707532) + (0.12074827295236845 / (0.1721593034666545 * (x1 * (x1 / 9.407320986791332e-5))))) / abs((0.05528710792205269 / -0.002045159386971294) + (x2 * 0.05528710792205269))))) * 1.6125056425742907)) / -0.7679181630847893) + (x2 + (0.05528710792205269 / -0.0022051922974707532))))) + x4))))"
154,0.02900777907708145,"pow(square((-0.6508581187139673 - x2) / (((((((square(-2.4220041958719687) + x3) * ((((1.4543759932163847 * -1.853069207400333) / ((x3 / ((0.05528710792205269 / -0.0011851245038607939) + x2)) / -1.5572677716834016)) + (-0.3761967449124298 / 0.00040506016550023624)) * (1.6230326347696546 / -0.7679181630847893))) / (x2 + (((0.12074827295236845 / (0.16256182118244122 * ((x1 * x1) / 9.407320986791332e-5))) + (x1 * (x2 / -0.0022051922974707532))) / abs((0.05528710792205269 * x2) + (0.05528710792205269 / -0.002045159386971294))))) + x2) + (0.05528710792205269 / -0.0022051922974707532)) + (x2 * 0.0529443968099137)) + ((-3.4371967258212823 * (1.4543759932163847 + (x2 / (0.32977782640820313 / -0.0019002450941286314)))) / 0.06528503999823161))), abs(pow4(abs(0.9935557293041695))))"
156,0.028806895568143,"abs(abs(-0.002205288392758098 + square(pow((x2 - -0.7112611521050359) / (((((x2 * 0.052944552139084805) + x2) + (-3.4371967288721708 * ((1.4543759680477446 + (x2 / (0.3297776836115818 / -0.001899866277824737))) / 0.06528487937194785))) + ((((-0.376196714558465 / 0.00040727402926409544) + (-1.853069215814299 * (1.454376003936901 / ((x3 / ((0.05528709196938196 / -0.0011857241784425981) + x2)) / -1.5572677816955918)))) / ((((0.12074827817077494 / (0.16256181730629388 * (x1 * (x1 / 0.0001014821308279892)))) + (x2 * (x1 / -0.002204990237764185))) / abs((0.05528702983014263 / -0.0020470684575444563) + (0.05528715344561122 * x2))) + x2)) * ((1.6230326373405206 * (square(-2.422004198873122) + x3)) / -0.7679181576511387))) + (0.055286891079963374 / -0.002206990957878714)), pow4(0.9935557721141637)))))"
160,0.028637264622611056,"square(pow((x2 - inv(-1.4643975335734762)) / ((((((square(-2.4220041958719687) + x3) * ((((1.4543759932163847 * -1.853069207400333) / ((x3 / ((0.05528710792205269 / -0.0011851245038607939) + x2)) / -1.5572677716834016)) + (-0.3761967449124298 / 0.00040506016550023624)) * (1.6230326347696546 / -0.7679181630847893))) / (x2 + (((0.12074827295236845 / (((x1 * 0.16256182118244122) * x1) / 9.407320986791332e-5)) + ((x1 * x2) / -0.0022051922974707532)) / abs(((x2 + x3) * 0.05528710792205269) + (0.05528710792205269 / -0.002045159386971294))))) + x2) + (0.05528710792205269 / -0.0022051922974707532)) + ((x2 * 0.0529443968099137) + (((1.4543759932163847 + (x2 / (0.32977782640820313 / -0.0019002450941286314))) / 0.06528503999823161) * -3.4371967258212823))), abs(abs(pow4(0.9935557293041695)))))"
